eco_code,percentage_of_use %,percentage_of_win %,number_of_use,number_of_wins
C07,45.666666666666664,24.817518248175183,137,34
C08,17.666666666666668,15.09433962264151,53,8
B40,8.333333333333332,32.0,25,8
C00,7.333333333333333,31.818181818181817,22,7
B52,5.666666666666666,0.0,17,
C02,3.3333333333333335,30.0,10,3
C80,1.0,66.66666666666666,3,2
C69,1.0,33.33333333333333,3,1
B51,1.0,66.66666666666666,3,2
B50,1.0,0.0,3,
C67,1.0,0.0,3,
B90,1.0,66.66666666666666,3,2
C83,0.6666666666666667,0.0,2,
C01,0.6666666666666667,0.0,2,
C65,0.6666666666666667,0.0,2,
C42,0.33333333333333337,100.0,1,1
A13,0.33333333333333337,0.0,1,
C41,0.33333333333333337,100.0,1,1
D30,0.33333333333333337,100.0,1,1
E00,0.33333333333333337,0.0,1,
B33,0.33333333333333337,0.0,1,
A05,0.33333333333333337,100.0,1,1
B43,0.33333333333333337,100.0,1,1
B47,0.33333333333333337,0.0,1,
D35,0.33333333333333337,100.0,1,1
B22,0.33333333333333337,0.0,1,
E10,0.33333333333333337,0.0,1,
